farming_experience,soil_ph,rainfall,temperature,market_distance,fertilizer_affordability,loan_access,soil_type,region,income,land_size,irrigation,financial_goal,recommended_crop
19,5.66,1459,31.8,39.8,low,yes,alluvial,west,881190,12.94,rainfed,sustainable,cotton
33,5.92,1540,31.9,93.0,high,yes,sandy,east,749249,12.28,canal,short-term,vegetables
32,7.67,1723,16.8,74.5,high,no,loamy,south,505076,13.74,borewell,sustainable,soybean
5,7.28,1359,18.0,42.2,medium,yes,clay,north,285221,12.63,rainfed,long-term,sugarcane
32,4.67,1314,21.4,86.5,low,yes,sandy,central,853016,14.54,canal,short-term,vegetables
5,5.56,774,28.1,42.6,medium,no,clay,central,879298,14.25,rainfed,short-term,maize
27,5.02,1038,26.1,58.3,medium,yes,black,central,847927,7.75,rainfed,long-term,sugarcane
11,8.18,489,11.2,10.4,high,no,clay,south,764802,16.74,canal,short-term,jute
13,6.33,877,16.4,41.4,medium,yes,black,west,213242,16.75,canal,sustainable,pulses
10,7.84,1910,37.3,26.0,high,yes,loamy,north,725731,15.23,drip,long-term,pulses
36,5.42,1294,32.3,26.1,medium,yes,black,south,905564,18.77,drip,short-term,pulses
19,7.78,1366,11.1,27.0,medium,no,alluvial,west,861748,2.45,canal,sustainable,cotton
28,7.52,713,23.4,82.8,high,no,black,south,976530,19.28,drip,short-term,groundnut
1,8.24,894,38.2,27.7,low,yes,sandy,north,404249,10.27,borewell,export,spices
25,5.51,800,11.1,74.8,high,yes,clay,east,769098,15.69,borewell,sustainable,rice
26,7.55,1357,29.2,85.9,low,yes,black,central,421844,6.64,canal,short-term,maize
30,6.43,865,22.1,87.0,medium,no,clay,central,458913,9.27,drip,export,spices
26,5.75,936,25.4,61.2,medium,no,alluvial,south,537905,5.0,rainfed,sustainable,millets
11,7.38,690,17.2,53.5,medium,no,sandy,west,822475,10.63,borewell,export,tea
15,5.53,879,16.7,45.6,medium,yes,loamy,north,411729,7.41,rainfed,sustainable,groundnut
3,5.66,734,13.9,1.0,low,yes,clay,south,609930,11.85,canal,short-term,sugarcane
17,8.36,1939,29.0,51.5,high,yes,sandy,south,187617,17.75,borewell,export,watermelon
35,7.84,607,22.3,66.7,medium,no,sandy,west,539378,11.97,canal,export,cotton
6,6.55,556,32.8,66.7,high,yes,red,south,203734,16.83,borewell,export,cotton
33,6.16,1937,27.5,62.9,low,yes,black,east,200612,1.93,borewell,long-term,tea
39,6.28,1278,22.8,23.4,low,yes,black,north,896590,18.99,rainfed,export,sorghum
12,7.55,1819,21.0,93.8,high,no,sandy,west,328670,6.98,drip,long-term,groundnut
10,6.53,1299,29.3,65.3,low,yes,red,south,974890,3.83,rainfed,short-term,groundnut
3,6.27,440,37.9,76.3,medium,no,black,north,654554,3.33,canal,sustainable,millets
16,6.56,1908,22.3,83.7,low,yes,black,west,143645,16.28,borewell,short-term,wheat
11,5.76,904,32.7,99.0,medium,yes,alluvial,north,766743,9.68,rainfed,sustainable,maize
17,5.42,1330,16.6,48.9,medium,no,red,east,421996,14.66,drip,short-term,millets
31,6.9,1724,22.0,1.4,medium,yes,red,south,991604,17.16,rainfed,long-term,millets
7,4.69,626,18.0,99.4,high,no,sandy,north,279865,10.28,canal,short-term,millets
25,6.28,1201,38.4,87.0,low,yes,black,south,55148,15.81,canal,sustainable,pulses
0,4.88,1302,11.1,57.9,medium,yes,red,central,368349,14.14,rainfed,export,groundnut
24,8.39,1580,24.7,7.6,low,no,black,central,998504,9.34,borewell,long-term,sugarcane
15,5.24,945,11.9,28.3,medium,no,sandy,central,972886,6.97,borewell,short-term,cotton
18,5.35,1815,10.5,31.5,medium,no,loamy,north,710617,2.44,drip,export,spices
18,6.36,1470,24.2,82.6,low,no,red,central,437237,6.64,drip,long-term,soybean
34,6.16,544,25.9,58.1,medium,no,clay,east,168044,10.37,drip,long-term,sugarcane
12,8.29,952,38.0,93.0,high,no,red,east,438821,3.84,canal,short-term,millets
2,4.54,1989,21.8,82.2,medium,no,clay,west,374618,9.11,canal,sustainable,millets
3,7.44,1787,26.2,8.0,medium,no,clay,east,499597,17.72,drip,short-term,tea
0,7.7,490,35.3,98.4,low,no,loamy,north,358118,3.93,rainfed,long-term,maize
28,6.27,697,25.5,89.3,high,yes,loamy,south,372266,5.91,rainfed,short-term,groundnut
35,4.91,1735,17.2,59.8,high,yes,red,west,939813,1.99,drip,long-term,millets
7,4.54,724,39.0,41.6,high,yes,clay,west,995726,1.36,drip,export,jute
25,6.26,1308,19.4,63.1,high,no,red,central,451380,13.14,drip,short-term,rice
15,6.82,633,10.6,95.1,medium,yes,loamy,central,123189,13.11,drip,long-term,soybean
30,8.2,595,26.7,33.3,medium,yes,black,central,119854,6.63,drip,sustainable,sugarcane
25,6.22,400,21.5,66.5,medium,no,sandy,south,994120,5.27,borewell,sustainable,cotton
8,5.9,875,12.0,15.3,low,no,sandy,central,953481,3.68,drip,sustainable,sugarcane
18,7.81,531,35.0,66.9,high,no,clay,east,559678,10.15,borewell,short-term,jute
10,7.12,409,26.5,98.6,low,no,alluvial,east,976765,11.31,drip,export,tea
38,7.28,788,25.2,8.1,medium,yes,loamy,south,580004,17.89,borewell,sustainable,pulses
32,6.47,492,26.0,93.5,low,no,loamy,east,729516,1.53,borewell,short-term,tea
18,6.81,596,30.7,43.9,low,no,alluvial,south,983360,10.55,canal,long-term,millets
35,8.17,607,27.7,30.7,medium,no,black,east,423454,0.65,canal,sustainable,cotton
39,4.95,1710,33.2,76.6,low,no,clay,central,100874,16.19,canal,long-term,wheat
22,7.21,1013,16.3,22.4,high,no,sandy,east,635855,19.29,canal,export,groundnut
37,7.86,1634,17.5,6.3,low,no,black,east,150498,1.27,drip,export,millets
3,4.61,1269,33.5,43.0,medium,no,clay,north,486682,8.23,canal,sustainable,jute
31,5.07,1493,29.7,12.0,medium,no,loamy,south,418886,10.83,canal,long-term,pulses
27,6.93,659,27.3,10.6,low,yes,clay,central,211929,6.43,borewell,long-term,maize
12,6.18,1224,27.7,55.6,high,yes,red,east,401859,9.75,borewell,sustainable,tea
14,8.26,1340,20.5,37.8,high,no,black,west,943080,6.99,rainfed,short-term,sugarcane
21,4.88,723,28.2,99.4,low,no,red,south,901836,17.87,drip,long-term,groundnut
31,5.19,436,23.6,85.1,high,no,clay,east,99337,12.97,borewell,export,pulses
14,5.94,1649,32.6,50.3,medium,no,red,south,977574,6.97,rainfed,export,cotton
0,4.8,503,34.0,80.5,low,no,loamy,central,594876,18.29,drip,export,wheat
15,5.04,960,33.9,17.1,high,yes,black,north,51838,10.72,canal,sustainable,wheat
31,6.95,1628,22.3,6.8,medium,no,sandy,central,967992,7.71,borewell,export,watermelon
13,4.58,1428,15.6,89.8,medium,no,alluvial,west,743751,6.95,drip,short-term,cotton
8,6.25,1308,37.2,74.5,medium,no,red,west,464552,4.6,canal,short-term,rice
28,5.13,794,16.6,53.3,high,no,black,south,844878,17.81,rainfed,export,cotton
10,7.76,517,32.3,88.4,low,yes,loamy,central,387538,0.53,borewell,export,wheat
0,5.44,1627,25.3,58.3,high,no,sandy,south,868003,14.72,borewell,export,tea
21,5.57,929,23.6,1.4,medium,no,loamy,east,85684,2.29,canal,sustainable,millets
8,6.5,1123,14.2,19.1,low,no,black,central,174535,6.16,drip,export,tea
35,6.63,1324,11.7,48.3,low,yes,sandy,north,503128,5.82,rainfed,short-term,wheat
37,4.9,1023,28.9,9.1,high,no,sandy,central,604597,11.04,drip,short-term,cotton
13,6.62,830,10.6,84.7,high,yes,red,west,231108,16.04,drip,export,sugarcane
4,7.61,554,20.3,9.1,low,yes,black,central,654627,9.8,rainfed,sustainable,sorghum
33,5.81,1840,22.6,76.7,low,yes,sandy,central,105655,8.58,drip,short-term,cotton
39,5.08,1724,21.9,8.4,medium,yes,alluvial,north,673711,18.81,drip,short-term,sugarcane
9,5.71,1418,22.2,62.6,medium,yes,loamy,south,194004,18.58,borewell,long-term,groundnut
37,7.18,1024,21.3,28.9,low,no,black,east,962553,13.6,rainfed,short-term,jute
36,6.65,1379,32.7,32.3,high,yes,loamy,north,236261,5.71,canal,short-term,sugarcane
5,7.85,521,34.4,69.4,low,yes,sandy,west,591290,3.67,drip,short-term,millets
3,6.16,1631,29.5,13.7,high,no,loamy,west,835164,6.59,canal,long-term,wheat
25,7.93,1225,35.2,50.5,medium,no,alluvial,east,572562,4.86,rainfed,sustainable,sorghum
30,4.83,556,26.5,52.9,medium,no,alluvial,central,988752,2.94,drip,short-term,cotton
18,8.08,460,26.6,72.2,medium,yes,clay,north,945278,4.31,rainfed,sustainable,pulses
4,6.63,1345,32.2,66.3,low,no,red,central,744945,16.92,rainfed,export,cotton
30,7.01,1576,17.9,34.0,low,yes,black,north,51497,7.35,drip,short-term,vegetables
20,7.24,1184,24.1,27.2,low,yes,sandy,south,717313,14.07,canal,short-term,cotton
35,6.49,1862,35.6,73.5,medium,yes,black,south,187467,16.21,canal,export,sugarcane
23,4.8,1925,20.6,30.8,low,no,black,north,214724,7.72,rainfed,sustainable,millets
16,7.9,941,20.3,99.6,high,no,sandy,east,246497,9.27,rainfed,sustainable,millets
21,7.9,893,29.2,7.2,low,yes,clay,west,320966,9.52,borewell,short-term,soybean
29,6.78,1814,34.5,5.5,medium,yes,loamy,east,487862,9.51,rainfed,export,wheat
4,5.85,1451,37.9,75.9,low,yes,clay,north,55329,19.91,canal,long-term,rice
29,6.22,1006,25.0,48.3,medium,yes,red,south,680990,17.0,borewell,short-term,soybean
4,6.27,1185,19.4,5.5,high,yes,sandy,north,838374,11.71,canal,sustainable,groundnut
38,7.8,1590,27.0,51.2,low,yes,black,east,369050,8.24,drip,export,sugarcane
9,4.98,1291,22.9,61.6,high,yes,red,south,981363,12.4,borewell,export,pulses
33,8.29,973,22.3,89.8,low,yes,sandy,west,89589,15.42,rainfed,short-term,cotton
2,5.97,1454,13.0,28.1,low,yes,red,central,239276,10.45,drip,short-term,rice
18,6.22,1188,24.7,22.9,high,yes,black,south,679517,13.65,borewell,sustainable,millets
33,5.74,1813,11.6,54.9,medium,no,clay,north,801274,18.9,drip,long-term,sugarcane
6,7.09,1132,27.5,26.0,medium,no,red,north,165450,15.37,borewell,export,maize
7,5.68,1822,18.0,6.0,medium,no,clay,south,860009,1.39,drip,sustainable,millets
2,5.55,1386,11.2,89.2,medium,no,red,central,544277,8.52,drip,sustainable,soybean
30,6.91,1141,19.9,39.4,medium,no,sandy,east,210958,14.36,rainfed,sustainable,sugarcane
12,6.43,1601,28.0,75.9,low,no,red,east,659802,9.59,rainfed,long-term,jute
19,6.29,1005,10.7,55.6,medium,no,red,south,458807,4.93,drip,long-term,groundnut
2,6.94,1694,27.5,91.6,low,no,black,east,332269,0.77,borewell,export,cotton
35,5.71,1224,19.2,80.8,high,no,red,east,241169,10.27,rainfed,export,jute
27,5.78,1924,26.8,85.9,medium,yes,clay,west,472294,1.24,borewell,long-term,cotton
38,8.36,1946,34.7,74.9,medium,no,black,east,275221,9.28,borewell,export,jute
25,5.23,985,23.8,70.3,high,no,black,north,287844,17.57,drip,sustainable,groundnut
31,7.53,674,32.4,73.7,high,no,alluvial,west,705928,1.4,canal,short-term,wheat
31,7.9,1283,28.9,62.0,high,yes,red,central,765851,19.87,borewell,long-term,sugarcane
32,5.56,1418,15.7,35.7,medium,no,alluvial,east,423383,14.69,borewell,export,jute
6,4.57,1806,10.6,54.1,medium,yes,red,central,555432,13.97,drip,short-term,cotton
35,7.32,443,16.1,44.1,high,no,clay,west,159002,18.36,borewell,long-term,soybean
7,4.59,443,34.8,67.5,low,no,loamy,west,805813,9.06,borewell,long-term,wheat
18,5.4,666,19.7,29.0,medium,yes,black,east,367382,3.44,drip,long-term,tea
6,5.92,796,20.3,12.7,high,yes,loamy,central,458492,10.87,rainfed,long-term,sugarcane
32,6.08,407,13.2,42.2,high,no,red,east,160024,13.64,rainfed,short-term,jute
38,7.23,809,33.3,66.2,high,yes,clay,north,539309,10.77,drip,long-term,wheat
6,5.75,1793,31.8,10.1,low,no,alluvial,south,845977,3.28,rainfed,sustainable,millets
14,6.07,1416,34.7,8.6,low,no,black,south,418149,9.76,rainfed,sustainable,sugarcane
36,5.49,700,20.9,33.9,high,no,black,west,191497,16.46,borewell,long-term,wheat
16,7.41,1533,14.4,51.5,low,no,black,south,369572,1.75,canal,sustainable,groundnut
29,7.45,750,27.9,62.6,high,no,alluvial,south,556304,13.6,canal,export,wheat
38,7.12,627,17.7,19.9,high,no,sandy,south,644257,7.68,borewell,long-term,watermelon
39,6.36,1189,18.1,8.1,low,no,loamy,south,582809,5.25,drip,short-term,groundnut
22,4.6,1926,23.9,63.4,high,no,red,north,463088,19.84,canal,export,maize
35,7.89,1562,17.6,13.7,medium,no,clay,south,191296,13.34,canal,export,cotton
31,4.95,1065,13.3,57.4,medium,yes,loamy,east,381390,16.56,canal,short-term,wheat
13,4.62,1648,20.1,33.1,high,yes,clay,west,742685,5.08,canal,export,jute
35,7.04,1743,19.2,26.4,medium,yes,clay,west,313158,9.41,canal,long-term,wheat
11,6.64,923,16.9,68.2,low,yes,red,central,918836,15.84,drip,sustainable,pulses
38,4.82,1344,20.6,28.0,medium,no,loamy,east,255939,16.49,drip,export,coffee
34,5.02,1619,28.5,11.8,low,yes,black,south,738693,13.67,canal,short-term,sugarcane
16,4.83,611,16.4,80.7,high,yes,red,central,153092,13.19,borewell,short-term,vegetables
1,7.6,1596,35.4,70.3,low,no,clay,north,871515,14.19,canal,long-term,cotton
14,8.17,509,37.8,91.5,low,no,loamy,south,384990,4.89,drip,sustainable,vegetables
31,6.51,1057,36.5,82.9,medium,no,sandy,west,935542,17.21,drip,sustainable,pulses
9,8.4,1034,14.4,95.4,high,no,black,central,389874,7.55,canal,short-term,rice
3,5.29,697,21.5,34.6,low,no,alluvial,south,146157,12.8,drip,sustainable,wheat
22,4.98,767,18.3,64.3,medium,yes,clay,south,335130,15.58,canal,short-term,vegetables
32,4.77,865,32.7,30.0,medium,no,sandy,east,217905,16.86,canal,short-term,tea
26,7.68,752,38.8,22.5,medium,no,red,north,579664,15.49,canal,short-term,pulses
34,7.7,990,28.3,77.1,high,no,red,south,936033,19.65,borewell,export,groundnut
15,7.42,569,27.0,37.6,high,yes,sandy,south,296187,10.18,drip,long-term,millets
14,8.3,1563,27.9,68.0,high,no,sandy,east,292250,1.81,canal,sustainable,millets
7,7.49,1036,17.0,9.1,medium,yes,loamy,north,385781,14.22,canal,long-term,rice
35,7.79,1208,29.4,5.5,high,yes,loamy,west,870139,11.8,canal,sustainable,wheat
0,7.35,1644,25.6,78.3,high,yes,sandy,central,671882,13.34,canal,short-term,groundnut
17,5.49,1234,23.7,11.8,high,no,loamy,south,721743,14.99,drip,sustainable,spices
8,8.19,524,21.5,18.7,low,no,alluvial,central,744238,4.78,borewell,short-term,maize
12,8.14,682,29.3,71.7,high,no,black,south,905369,19.53,canal,export,groundnut
31,5.12,533,18.2,6.8,low,yes,alluvial,east,949264,4.34,rainfed,short-term,millets
0,7.69,850,38.2,6.2,medium,yes,loamy,east,448260,4.09,drip,long-term,jute
21,6.93,1198,30.3,9.9,medium,yes,sandy,south,307825,3.03,canal,sustainable,rice
29,6.31,467,13.6,70.4,low,no,red,west,505162,18.29,drip,sustainable,cotton
34,4.68,1834,29.5,34.8,high,yes,black,north,205271,13.14,rainfed,export,spices
27,4.66,935,24.4,17.8,low,yes,loamy,east,621036,6.97,rainfed,export,jute
34,6.27,1286,28.1,21.2,high,yes,sandy,east,870551,14.68,canal,short-term,vegetables
13,7.92,1917,30.9,9.8,high,yes,black,north,887400,13.03,borewell,sustainable,rice
14,4.69,1678,22.8,44.0,low,no,loamy,south,952445,14.63,drip,export,pulses
2,7.77,997,36.9,31.8,high,no,clay,west,903153,10.52,canal,sustainable,pulses
37,8.27,662,20.3,84.2,medium,no,alluvial,east,957749,1.37,drip,sustainable,jute
18,8.48,492,22.0,51.6,high,no,sandy,central,637345,5.91,rainfed,short-term,watermelon
4,5.08,1712,10.7,57.2,low,no,sandy,south,486289,14.92,drip,short-term,watermelon
6,4.85,1891,14.6,85.0,high,no,loamy,central,430293,18.61,rainfed,sustainable,millets
15,8.32,1836,26.7,10.1,high,no,red,central,613008,11.49,canal,export,sugarcane
17,7.79,470,12.0,20.3,low,yes,sandy,south,902661,5.71,canal,sustainable,millets
27,7.16,1887,13.5,77.1,high,yes,alluvial,central,967827,4.66,borewell,short-term,cotton
23,6.07,1594,39.8,83.1,high,no,alluvial,west,452019,9.73,canal,sustainable,pulses
22,5.82,856,16.9,27.6,low,no,red,north,937912,17.53,borewell,long-term,sugarcane
39,6.44,790,26.2,90.8,high,yes,black,south,435268,8.9,borewell,export,spices
16,4.56,647,36.5,9.9,low,yes,red,east,900377,9.3,canal,sustainable,groundnut
10,5.62,432,37.3,19.8,medium,no,black,north,535555,14.2,drip,long-term,soybean
31,6.32,476,26.5,63.9,low,yes,alluvial,west,449687,19.86,canal,export,sugarcane
23,6.16,1704,19.3,86.0,low,no,red,east,439147,9.93,rainfed,short-term,soybean
6,4.53,1960,18.6,84.0,low,no,loamy,west,388318,7.87,rainfed,export,spices
39,8.46,1037,24.4,2.1,medium,no,alluvial,west,796303,19.94,drip,sustainable,groundnut
5,8.09,1225,14.5,29.4,low,yes,red,south,111700,6.7,drip,sustainable,rice
32,5.87,805,19.4,56.7,low,yes,alluvial,central,325992,17.87,drip,long-term,soybean
26,7.26,1711,21.1,20.3,low,no,loamy,east,364945,13.29,drip,short-term,sugarcane
32,6.82,807,25.4,88.6,high,yes,loamy,north,663862,8.33,borewell,sustainable,maize
29,6.72,1667,26.4,19.5,low,yes,alluvial,east,455857,6.25,drip,long-term,soybean
2,7.39,1194,10.2,17.0,low,yes,sandy,west,312709,13.18,drip,long-term,watermelon
6,5.03,958,11.9,99.7,medium,yes,black,west,743813,10.93,drip,sustainable,millets
34,7.77,719,36.4,97.1,medium,yes,black,north,758780,11.98,borewell,short-term,millets
2,4.87,1405,31.6,46.2,low,no,sandy,west,868857,6.14,canal,sustainable,millets
12,7.5,841,31.6,33.0,high,no,black,north,282059,13.35,rainfed,sustainable,millets
9,6.49,434,10.3,4.9,medium,no,alluvial,central,677905,7.26,borewell,sustainable,maize
26,6.16,404,15.7,62.0,medium,yes,red,central,443932,2.29,canal,export,pulses
30,8.21,503,31.7,1.1,low,yes,alluvial,west,440414,16.45,borewell,short-term,vegetables
32,6.04,558,25.5,32.6,medium,no,black,central,487697,0.71,borewell,long-term,pulses
25,6.1,1421,36.9,49.2,medium,no,red,east,84626,8.33,borewell,sustainable,pulses
4,4.62,1405,20.3,93.0,high,no,clay,central,621604,14.88,drip,export,rice
19,5.6,1962,13.5,57.0,low,yes,clay,north,999633,7.48,borewell,export,rice
11,7.89,1109,35.8,46.6,low,no,red,central,384352,5.07,rainfed,long-term,sorghum
31,5.41,929,35.5,30.7,low,no,red,north,389680,12.1,drip,sustainable,groundnut
15,6.75,1665,13.2,30.6,medium,no,black,central,999901,15.96,borewell,short-term,pulses
1,4.62,1232,32.7,91.9,medium,no,alluvial,south,556248,8.62,borewell,export,wheat
33,6.09,1857,39.7,15.2,low,yes,black,east,767048,17.97,drip,short-term,sugarcane
13,8.07,410,32.1,6.1,medium,no,black,north,77180,18.89,drip,short-term,cotton
5,7.19,1221,15.5,42.4,low,yes,clay,south,945712,5.54,borewell,export,coffee
22,4.54,1500,25.0,22.3,high,no,clay,north,855530,17.11,canal,export,sugarcane
14,6.72,559,26.1,66.4,medium,no,loamy,central,535433,3.52,borewell,export,tea
18,7.59,1912,12.4,28.2,low,no,alluvial,west,437478,5.85,canal,export,groundnut
27,7.97,744,11.7,8.3,medium,yes,alluvial,north,343265,1.78,drip,sustainable,vegetables
21,6.26,1167,26.1,60.7,low,yes,alluvial,north,153068,14.0,borewell,export,rice
15,8.05,1987,24.5,71.3,low,yes,red,south,382051,8.8,borewell,sustainable,rice
21,6.59,1964,28.4,91.2,high,yes,alluvial,east,65360,16.0,borewell,export,vegetables
27,8.01,724,38.5,73.3,high,no,red,central,328025,15.38,drip,long-term,cotton
25,5.41,1416,13.9,89.4,low,no,clay,north,140502,7.97,canal,sustainable,wheat
1,5.0,928,12.6,50.2,low,yes,loamy,south,438511,5.43,canal,long-term,groundnut
10,5.93,1544,11.7,84.8,medium,no,clay,central,999656,18.2,rainfed,long-term,soybean
25,5.12,1237,25.3,71.2,low,no,red,west,716877,18.21,borewell,long-term,sugarcane
15,7.5,923,36.7,87.1,medium,yes,red,west,291771,7.88,rainfed,export,tea
29,5.78,1796,25.3,51.5,medium,no,black,east,804119,4.13,canal,sustainable,tea
15,5.5,1966,14.3,54.9,medium,no,alluvial,east,464256,7.82,borewell,export,jute
2,7.0,1979,39.9,48.0,medium,yes,black,west,725026,1.85,drip,sustainable,cotton
39,8.29,1605,30.1,27.0,high,no,sandy,north,518180,10.94,borewell,short-term,pulses
36,5.53,1496,12.1,12.9,low,no,loamy,central,321393,16.66,canal,long-term,vegetables
26,4.86,699,10.3,27.3,medium,yes,loamy,south,903569,1.21,rainfed,short-term,groundnut
33,7.15,780,18.7,48.4,medium,no,alluvial,south,675168,7.46,canal,sustainable,soybean
7,6.72,1716,37.4,45.4,low,yes,alluvial,west,569703,4.08,borewell,short-term,vegetables
25,5.69,740,32.1,8.7,medium,no,red,east,503372,4.59,rainfed,export,pulses
23,6.18,1917,13.9,7.8,low,no,sandy,north,135082,18.43,canal,long-term,sugarcane
28,4.98,910,15.3,64.5,low,no,alluvial,east,439765,16.65,canal,short-term,pulses
24,7.46,1512,24.3,15.7,medium,yes,red,east,958668,14.64,canal,long-term,pulses
15,8.02,1628,25.0,68.3,high,yes,clay,west,319257,3.91,drip,short-term,pulses
17,7.86,1502,23.3,61.0,high,no,clay,south,705685,11.17,borewell,export,spices
11,7.27,1088,22.8,38.5,high,yes,sandy,south,479824,0.95,borewell,export,cotton
28,7.71,1815,38.6,83.9,medium,yes,red,west,557797,17.15,rainfed,short-term,cotton
9,7.95,1765,24.7,75.3,high,no,black,central,81713,5.88,canal,sustainable,millets
19,6.82,618,14.8,80.4,low,yes,loamy,east,464438,16.61,borewell,sustainable,jute
10,7.2,1662,16.6,10.9,low,no,red,central,286140,9.6,canal,long-term,rice
18,7.45,1941,23.4,88.9,high,no,loamy,central,958766,10.27,rainfed,short-term,cotton
18,7.1,870,39.5,3.4,medium,no,clay,north,478161,13.87,drip,short-term,sugarcane
9,5.38,1511,17.4,35.7,high,yes,alluvial,central,870636,4.43,borewell,export,tea
7,5.6,1832,14.5,95.8,high,no,sandy,north,103356,8.2,canal,sustainable,cotton
14,7.28,1529,23.9,48.8,medium,yes,red,west,850471,7.19,drip,sustainable,cotton
5,4.85,744,34.6,31.9,medium,yes,clay,west,299789,15.95,rainfed,long-term,cotton
15,4.71,875,30.3,59.1,low,no,loamy,north,529815,15.97,drip,short-term,pulses
3,6.69,670,16.5,35.6,low,no,alluvial,east,159692,4.57,rainfed,long-term,millets
36,5.65,1399,29.1,33.9,high,no,sandy,north,617767,1.16,canal,long-term,groundnut
38,8.09,583,39.7,7.0,medium,yes,black,east,617367,9.05,drip,short-term,cotton
4,5.38,1441,31.3,66.4,high,no,red,east,541771,10.7,drip,short-term,pulses
29,8.11,889,18.5,29.2,medium,yes,clay,east,153367,3.91,borewell,sustainable,tea
29,6.56,1404,28.9,89.8,low,yes,sandy,west,153912,7.15,rainfed,sustainable,pulses
18,8.17,1521,29.1,31.6,medium,yes,red,east,579779,7.67,borewell,export,spices
8,6.57,694,29.8,49.2,high,no,clay,north,966827,10.5,rainfed,short-term,jute
21,7.56,426,20.7,42.2,medium,no,alluvial,west,776484,14.54,drip,export,soybean
2,8.49,554,34.4,22.5,high,yes,black,east,570323,17.3,borewell,sustainable,soybean
15,8.3,1235,29.5,9.0,high,no,red,central,910621,18.14,canal,sustainable,soybean
30,4.73,1668,19.3,27.4,high,yes,sandy,central,337007,14.41,canal,short-term,rice
27,7.11,877,15.6,93.6,medium,yes,alluvial,west,931399,10.84,rainfed,short-term,sugarcane
16,6.05,1646,38.5,25.6,low,yes,black,west,588645,17.89,rainfed,sustainable,cotton
23,8.4,772,22.2,94.3,medium,yes,black,south,500802,11.77,drip,long-term,groundnut
30,4.75,1773,20.6,19.7,medium,yes,black,west,896292,16.08,canal,sustainable,rice
35,4.7,1532,23.7,93.4,medium,no,alluvial,north,590111,14.27,canal,long-term,sugarcane
6,7.72,611,12.1,68.9,high,yes,alluvial,west,68145,9.68,canal,long-term,pulses
23,7.73,1242,30.7,4.5,medium,no,black,south,649296,4.28,drip,export,coffee
2,6.68,1353,35.4,9.1,medium,no,red,west,480463,15.51,canal,sustainable,cotton
27,4.95,1724,15.5,44.5,medium,no,loamy,south,953785,7.59,borewell,export,sugarcane
25,5.57,1380,18.7,25.0,high,yes,alluvial,south,364440,9.97,rainfed,long-term,rice
7,7.84,436,14.7,2.4,high,no,red,north,481268,0.51,borewell,long-term,sugarcane
21,5.06,1955,31.2,67.0,medium,yes,red,central,988994,14.37,rainfed,export,wheat
8,8.5,1926,13.8,82.4,low,yes,red,south,639012,19.69,rainfed,export,groundnut
27,7.93,1962,24.6,33.3,medium,yes,loamy,north,484369,19.35,drip,export,pulses
9,7.83,781,15.7,27.9,medium,no,sandy,west,544744,2.51,canal,short-term,millets
13,5.61,795,12.7,81.1,high,no,clay,east,415477,18.03,canal,short-term,vegetables
8,5.3,1587,20.2,53.5,high,yes,clay,central,930374,13.23,drip,export,jute
23,6.7,1292,21.6,7.6,high,no,red,east,742535,3.02,rainfed,long-term,cotton
9,6.06,1002,11.1,23.9,low,no,alluvial,east,841909,11.52,drip,sustainable,groundnut
11,6.02,705,39.0,36.5,low,yes,loamy,west,875170,1.52,borewell,sustainable,millets
23,6.53,1664,14.4,1.6,high,no,clay,central,915322,4.76,canal,long-term,wheat
33,7.97,1741,27.8,45.0,low,no,loamy,east,415933,3.13,rainfed,short-term,cotton
25,8.48,1166,26.9,2.0,low,yes,red,south,136979,17.94,borewell,sustainable,pulses
39,5.69,1227,28.4,5.7,medium,yes,sandy,north,997891,4.23,rainfed,sustainable,rice
38,6.14,1419,33.5,13.7,medium,no,clay,south,906758,11.81,rainfed,short-term,jute
11,8.36,1786,19.6,86.1,low,no,loamy,south,921556,10.2,canal,sustainable,wheat
9,4.76,1843,17.1,66.7,low,yes,loamy,west,789910,19.54,borewell,long-term,pulses
25,6.98,1277,16.3,58.9,low,no,sandy,south,882626,18.69,canal,export,rice
4,5.25,779,38.1,66.2,low,yes,loamy,south,219836,15.47,canal,long-term,pulses
12,6.36,737,12.5,88.0,high,yes,loamy,north,260747,18.18,drip,sustainable,groundnut
5,6.88,697,20.6,68.2,medium,yes,black,south,895137,19.05,rainfed,sustainable,sorghum
0,5.7,614,32.9,43.5,medium,yes,black,central,71282,17.33,rainfed,sustainable,groundnut
12,7.46,656,37.9,14.7,high,yes,loamy,central,736440,7.8,borewell,export,spices
37,6.82,1027,30.9,29.9,high,no,alluvial,south,366036,2.9,borewell,short-term,groundnut
16,4.71,494,13.4,33.1,low,no,red,west,819978,14.29,drip,sustainable,groundnut
9,5.94,1631,35.8,7.2,medium,yes,alluvial,south,946527,16.91,rainfed,export,millets
33,6.78,1689,16.3,28.6,high,yes,clay,south,265059,14.4,borewell,export,millets
3,6.3,523,39.0,9.0,low,no,clay,south,969924,5.92,rainfed,short-term,cotton
4,5.29,706,21.4,91.3,medium,yes,sandy,west,525379,13.91,rainfed,export,tea
32,7.75,1744,18.1,79.7,medium,yes,sandy,west,882206,6.11,canal,sustainable,wheat
18,5.64,677,22.8,33.3,medium,yes,alluvial,east,187831,0.65,borewell,export,vegetables
14,5.14,834,27.4,94.1,high,no,alluvial,west,309013,1.27,rainfed,long-term,pulses
